iter	Passed	Remaining
0	5	5695
1	10	5479
2	16	5469
3	21	5451
4	27	5400
5	32	5377
6	38	5449
7	44	5458
8	50	5514
9	56	5548
10	62	5576
11	67	5594
12	73	5598
13	79	5592
14	85	5598
15	91	5599
16	96	5599
17	102	5609
18	108	5616
19	114	5629
20	120	5610
21	126	5609
22	132	5630
23	139	5661
24	145	5673
25	151	5659
26	157	5670
27	162	5650
28	168	5634
29	174	5628
30	180	5627
31	185	5624
32	193	5683
33	199	5679
34	205	5676
35	211	5663
36	217	5649
37	222	5645
38	229	5644
39	235	5653
40	241	5660
41	247	5649
42	253	5645
43	259	5642
44	266	5650
45	272	5653
46	278	5646
47	285	5655
48	291	5659
49	297	5649
50	303	5638
51	309	5640
52	315	5639
53	321	5632
54	327	5633
55	333	5629
56	341	5655
57	348	5660
58	355	5674
59	362	5684
60	369	5692
61	376	5696
62	384	5713
63	391	5719
64	397	5710
65	403	5707
66	409	5709
67	417	5716
68	424	5731
69	433	5755
70	441	5775
71	448	5778
72	456	5790
73	462	5789
74	470	5798
75	477	5805
76	485	5823
77	493	5833
78	500	5838
79	508	5849
80	515	5851
81	522	5846
82	528	5841
83	535	5837
84	541	5826
85	547	5817
86	553	5808
87	559	5801
88	565	5792
89	571	5781
90	577	5772
91	584	5767
92	590	5762
93	597	5757
94	603	5751
95	609	5743
96	616	5737
97	622	5731
98	628	5723
99	634	5714
100	640	5703
101	646	5693
102	652	5682
103	658	5670
104	663	5656
105	669	5646
106	675	5639
107	681	5627
108	687	5620
109	693	5608
110	698	5597
111	704	5589
112	710	5579
113	717	5576
114	724	5575
115	730	5566
116	736	5556
117	741	5545
118	748	5539
119	753	5527
120	760	5521
121	765	5511
122	771	5503
123	777	5495
124	784	5491
125	790	5482
126	796	5477
127	802	5467
128	809	5463
129	815	5455
130	821	5447
131	827	5441
132	833	5434
133	839	5427
134	845	5420
135	851	5412
136	858	5409
137	865	5404
138	871	5396
139	877	5389
140	883	5382
141	889	5372
142	895	5364
143	900	5353
144	906	5345
145	912	5338
146	918	5328
147	924	5319
148	929	5310
149	935	5301
150	941	5293
151	947	5287
152	954	5283
153	960	5274
154	965	5265
155	972	5260
156	978	5253
157	984	5244
158	989	5234
159	1007	5289
160	1013	5279
161	1018	5270
162	1024	5260
163	1030	5250
164	1036	5243
165	1042	5235
166	1048	5228
167	1054	5223
168	1060	5216
169	1066	5207
170	1072	5201
171	1079	5195
172	1085	5190
173	1092	5184
174	1098	5179
175	1104	5172
176	1110	5164
177	1116	5156
178	1122	5149
179	1129	5145
180	1135	5139
181	1141	5131
182	1147	5122
183	1153	5116
184	1159	5108
185	1165	5098
186	1171	5091
187	1177	5083
188	1183	5077
189	1189	5069
190	1194	5060
191	1201	5056
192	1207	5050
193	1213	5042
194	1219	5035
195	1225	5029
196	1232	5022
197	1238	5016
198	1244	5009
199	1250	5001
200	1256	4994
201	1262	4988
202	1268	4981
